"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Ile","7",4.21,4.33,0.05,84.1,364.153,"TM",0,20,1,351.0331,1.03737510793142,0.41580153,415.80153,NA,NA,431.342157061798,431.342157061798,0.364153,"y",0.3510331,1.967985e-05,26,8015331.07929134,2.45527599612766e-12
1,"Ile","8",3.89,4.33,0.05,77.7,336.6142,"TM",100,20,1,351.0331,0.958924386332799,0.41580153,415.80153,NA,NA,398.722226991489,398.722226991489,0.3366142,"y",0.3510331,-2.162835e-05,26,8015331.07929134,-2.69837262940762e-12
1,"Ile","9",3.57,4.33,0.05,71.4,309.2486,"TM",1000,20,1,351.0331,0.880967065498952,0.41580153,415.80153,NA,NA,366.307453714074,366.307453714074,0.3092486,"y",0.3510331,-6.267675e-05,26,8015331.07929134,-7.81960837050557e-12
1,"Ile","10",3.72,4.33,0.05,74.3,321.8922,"TM",0,22,1,351.0331,0.916985321327248,0.41580153,415.80153,NA,NA,381.283899595411,381.283899595411,0.3218922,"y",0.3510331,-4.371135e-05,28,9122357.54912758,-4.79167252155999e-12
1,"Ile","11",3.36,4.33,0.05,67.1,290.6296,"TM",100,22,1,351.0331,0.827926483286049,0.41580153,415.80153,NA,NA,344.253098477859,344.253098477859,0.2906296,"y",0.3510331,-9.060525e-05,28,9122357.54912758,-9.93221867396165e-12
1,"Ile","12",3.79,4.33,0.05,75.7,327.781,"TM",1000,22,1,351.0331,0.933760947329468,0.41580153,415.80153,NA,NA,388.259230553842,388.259230553842,0.327781,"y",0.3510331,-3.487815e-05,28,9122357.54912758,-3.82337019922395e-12
1,"Ile","13",3.8,4.33,0.05,75.9,328.7336,"TM",0,24,1,351.0331,0.93647465153571,0.41580153,415.80153,NA,NA,389.387592914765,389.387592914765,0.3287336,"y",0.3510331,-3.344925e-05,30,10336548.2777019,-3.23601739201054e-12
1,"Ile","14",3.85,4.33,0.05,76.9,332.977,"TM",100,24,1,351.0331,0.948562970272604,0.41580153,415.80153,NA,NA,394.413934340693,394.413934340693,0.332977,"y",0.3510331,-2.708415e-05,30,10336548.2777019,-2.62023155819107e-12
1,"Ile","15",3.68,4.33,0.05,73.6,318.6014,"TM",1000,24,1,351.0331,0.907610706796596,0.41580153,415.80153,NA,NA,377.385920530406,377.385920530406,0.3186014,"y",0.3510331,-4.86475499999999e-05,30,10336548.2777019,-4.70636315847747e-12
1,"Ile","16",3.66,4.33,0.05,73.1,316.6096,"T",0,16,1,351.0331,0.901936598001727,0.41580153,415.80153,NA,NA,375.026617412113,375.026617412113,0.3166096,"y",0.3510331,-5.163525e-05,22,6085415.94208765,-8.48508146220258e-12
1,"Ile","17",3.93,4.33,0.05,78.6,340.1648,"T",100,16,1,351.0331,0.969039102010608,0.41580153,415.80153,NA,NA,402.927941245837,402.927941245837,0.3401648,"y",0.3510331,-1.630245e-05,22,6085415.94208765,-2.67893766919855e-12
1,"Ile","18",3.72,4.33,0.05,74.3,321.8056,"T",1000,16,1,351.0331,0.916738620944863,0.41580153,415.80153,NA,NA,381.181321198964,381.181321198964,0.3218056,"y",0.3510331,-4.38412499999999e-05,22,6085415.94208765,-7.20431444903992e-12
1,"Ile","19",3.75,4.33,0.05,75,324.9232,"T",0,18,1,351.0331,0.925619834710744,0.41580153,415.80153,NA,NA,384.874143471074,384.874143471074,0.3249232,"y",0.3510331,-3.91648499999999e-05,24,7005915.22298741,-5.59025462818826e-12
1,"Ile","20",3.98,4.33,0.05,79.5,344.235,"T",100,18,1,351.0331,0.980634019982731,0.41580153,415.80153,NA,NA,407.74912587887,407.74912587887,0.344235,"y",0.3510331,-1.019715e-05,24,7005915.22298741,-1.45550576554818e-12
1,"Ile","21",3.9,4.33,0.05,78.1,338.0864,"T",1000,18,1,351.0331,0.963118292833354,0.41580153,415.80153,NA,NA,400.466059731097,400.466059731097,0.3380864,"y",0.3510331,-1.942005e-05,24,7005915.22298741,-2.77195047069368e-12
1,"Ile","22",3.65,4.33,0.05,73,316.09,"T",0,20,1,351.0331,0.900456395707413,0.41580153,415.80153,NA,NA,374.411147033428,374.411147033428,0.31609,"y",0.3510331,-5.241465e-05,26,8015331.07929134,-6.53929943523108e-12
1,"Ile","23",3.57,4.33,0.05,71.3,308.8156,"T",100,20,1,351.0331,0.879733563587024,0.41580153,415.80153,NA,NA,365.794561731837,365.794561731837,0.3088156,"y",0.3510331,-6.33262499999999e-05,26,8015331.07929134,-7.90064058159888e-12
1,"Ile","24",3.88,4.33,0.05,77.6,335.9214,"T",1000,20,1,351.0331,0.956950783273714,0.41580153,415.80153,NA,NA,397.901599819909,397.901599819909,0.3359214,"y",0.3510331,-2.266755e-05,26,8015331.07929134,-2.82802416715694e-12
1,"Ile","25",3.65,4.33,0.05,72.9,315.657,"T",0,22,1,351.0331,0.899222893795485,0.41580153,415.80153,NA,NA,373.89825505119,373.89825505119,0.315657,"y",0.3510331,-5.306415e-05,28,9122357.54912758,-5.81693380403346e-12
1,"Ile","26",3.66,4.33,0.05,73.3,317.3024,"T",100,22,1,351.0331,0.903910201060812,0.41580153,415.80153,NA,NA,375.847244583693,375.847244583693,0.3173024,"y",0.3510331,-5.059605e-05,28,9122357.54912758,-5.54637874338074e-12
1,"Ile","27",3.67,4.33,0.05,73.4,317.7354,"T",1000,22,1,351.0331,0.90514370297274,0.41580153,415.80153,NA,NA,376.360136565931,376.360136565931,0.3177354,"y",0.3510331,-4.994655e-05,28,9122357.54912758,-5.47518004320896e-12
1,"Ile","28",3.76,4.33,0.05,75.2,325.5294,"T",0,24,1,351.0331,0.927346737387443,0.41580153,415.80153,NA,NA,385.592192246207,385.592192246207,0.3255294,"y",0.3510331,-3.82555499999999e-05,30,10336548.2777019,-3.70099853183341e-12
